//===== eAthena Script =======================================
//= Einbroch Fields Monster Spawn Script
//===== By: ==================================================
//= Athena (1.0)
//===== Current Version: =====================================
//= 1.3b
//===== Compatible With: =====================================
//= Any Athena Version
//===== Additional Comments: =================================
//= 1.1 correct spawn maps, but not yet exact amount of
//= monsters [Lupus]
//= maps, marked with * are correct
//= 1.2 Updated to correct mobs. Many thanks to vicious_pucca
//=    again for providing the information [MasterOfMuppets]
//= 1.2a Fixed missing tabs [Lupus]
//= 1.3 Updated after Episode 10.4 - Hugel [Poki#3]
//=	Mob quantity is custom.
//= 1.3b Changed the spawn numbers a bit. [Poki#3]
//=	Thanks to Playtester and Emperium.org
//============================================================

//==================================================
// einbech - Einbech, The Mining Village
//==================================================
einbech.gat,0,0,0,0	monster	¥Õ¹«	1175,5,3600000,1800000,0

//==================================================
// ein_fild01 - Einbroch Field
//==================================================
ein_fild01.gat,0,0,0,0	monster	¦´Å]	1199,40,0,0,0
ein_fild01.gat,0,0,0,0	monster	¤Ñ¨¸°­	1378,40,0,0,0

//==================================================
// ein_fild02 - Einbroch Field
//==================================================
ein_fild02.gat,0,0,0,0	monster	ÃzÆp³Ê»h	1380,40,0,0,0
ein_fild02.gat,0,0,0,0	monster	¤Ñ¨¸°­	1378,40,0,0,0
ein_fild02.gat,0,0,0,0	monster	·Å¥j¤O¦w¯S	1618,1,3600000,1800000,0

//==================================================
// ein_fild03 - Einbroch Field
//==================================================
ein_fild03.gat,0,0,0,0	monster	ª÷ÄÝªi§Q	1613,30,0,0,0
ein_fild03.gat,0,0,0,0	monster	¨¸´c¦V¤é¸ª	1368,5,0,0,0
ein_fild03.gat,0,0,0,0	monster	¨ëç³ÂÎ	1103,20,0,0,0
ein_fild03.gat,0,0,0,0	monster	Áê§ÎÂÎ	1128,20,0,0,0
ein_fild03.gat,0,0,0,0	monster	¼¯º¸	1628,10,0,0,0
ein_fild03.gat,0,0,0,0	monster	¶À¯ó	1081,5,180000,90000,1
ein_fild03.gat,0,0,0,0	monster	ºñ¯ó	1080,5,180000,90000,1

//==================================================
// ein_fild04 - Einbroch Field
//==================================================
ein_fild04.gat,0,0,0,0	monster	ª÷ÄÝªi§Q	1613,15,0,0,0
ein_fild04.gat,0,0,0,0	monster	Äq¥ÛÅ]	1614,30,0,0,0
ein_fild04.gat,0,0,0,0	monster	¨¸´c¦V¤é¸ª	1368,10,0,0,0
ein_fild04.gat,0,0,0,0	monster	°òº¸·æ	1121,20,0,0,0
ein_fild04.gat,0,0,0,0	monster	¼¯º¸	1628,10,0,0,0
ein_fild04.gat,0,0,0,0	monster	¶À¯ó	1081,5,180000,90000,1
ein_fild04.gat,0,0,0,0	monster	¬õ¯ó	1078,5,180000,90000,1
ein_fild04.gat,0,0,0,0	monster	ºñ¯ó	1080,5,180000,90000,1

//==================================================
// ein_fild05 - Einbroch Field
//==================================================
ein_fild05.gat,0,0,0,0	monster	Å]ªÊ	1372,20,0,0,0
ein_fild05.gat,0,0,0,0	monster	¤g¼·¹«	1145,30,0,0
ein_fild05.gat,0,0,0,0	monster	ÂÎ¸º	1008,10,0,0,0
