// 屬性修正數據
// 守護永恆[Dathena] 2005/12/17
// 縱行:魔物屬性                        // 橫行:攻擊屬性
1,10	// lv1 十種屬性相克表
// 無  水   地    火   風   毒   聖   暗   念 不死
  100, 100, 100, 100, 100, 100, 100, 100,  25, 100,  // 無屬性
  100,  25, 100, 150,  50, 100,  75, 100, 100, 100,  // 水屬性
  100, 100, 100,  50, 150, 100,  75, 100, 100, 100,  // 地屬性
  100,  50, 150,  25, 100, 100,  75, 100, 100, 125,  // 火屬性
  100, 175,  50, 100,  25, 100,  75, 100, 100, 100,  // 風屬性
  100, 100, 125, 125, 125,   0,  75,  50, 100, -25,  // 毒屬性
  100, 100, 100, 100, 100, 100,   0, 125, 100, 150,  // 聖屬性
  100, 100, 100, 100, 100,  50, 125,   0, 100, -25,  // 暗屬性
   25, 100, 100, 100, 100, 100,  75,  75, 125, 100,  // 念屬性
  100, 100, 100, 100, 100,  50, 100,   0, 100,   0,  // 不死屬性
// 縱行:魔物屬性                        // 橫行:攻擊屬性
2,10	// lv2 十種屬性相克表
// 無  水   地    火   風   毒   聖   暗   念 不死
  100, 100, 100, 100, 100, 100, 100, 100,  25, 100,  // 無屬性
  100,   0, 100, 175,  25, 100,  50,  75, 100, 100,  // 水屬性
  100, 100,  50,  25, 175, 100,  50,  75, 100, 100,  // 地屬性
  100,  25, 175,   0, 100, 100,  50,  75, 100, 150,  // 火屬性
  100, 175,  25, 100,   0, 100,  50,  75, 100, 100,  // 風屬性
  100,  75, 125, 125, 125,   0,  50,  25,  75, -50,  // 毒屬性
  100, 100, 100, 100, 100, 100, -25, 150, 100, 175,  // 聖屬性
  100, 100, 100, 100, 100,  25, 150, -25, 100, -50,  // 暗屬性
    0,  75,  75,  75,  75,  75,  50,  50, 150, 125,  // 念屬性
  100,  75,  75,  75,  75,  25, 125,   0, 100,   0,  // 不死屬性
// 縱行:魔物屬性                        // 橫行:攻擊屬性
3,10	// lv3 十種屬性相克表
// 無  水   地    火   風   毒   聖   暗   念 不死
  100, 100, 100, 100, 100, 100, 100, 100,   0, 100,  // 無屬性
  100, -25, 100, 200,   0, 100,  25,  50, 100, 125,  // 水屬性
  100, 100,   0,   0, 200, 100,  25,  50, 100,  75,  // 地屬性
  100,   0, 200, -25, 100, 100,  25,  50, 100, 175,  // 火屬性
  100, 200,   0, 100, -25, 100,  25,  50, 100, 100,  // 風屬性
  100,  50, 100, 100, 100,   0,  25,   0,  50, -75,  // 毒屬性
  100, 100, 100, 100, 100, 125, -50, 175, 100, 200,  // 聖屬性
  100, 100, 100, 100, 100,   0, 175, -50, 100, -75,  // 暗屬性
    0,  50,  50,  50,  50,  50,  25,  25, 175, 150,  // 念屬性
  100,  50,  50,  50,  50,   0, 150,   0, 100,   0,  // 不死屬性
// 縱行:魔物屬性                        // 橫行:攻擊屬性
4,10	// lv4 十種屬性相克表
// 無  水   地    火   風   毒   聖   暗   念 不死
  100, 100, 100, 100, 100, 100, 100, 100,   0, 100,  // 無屬性
  100, -50, 100, 200,   0,  75,   0,  25, 100, 150,  // 水屬性
  100, 100, -25,   0, 200,  75,   0,  25, 100,  50,  // 地屬性
  100,   0, 200, -50, 100,  75,   0,  25, 100, 200,  // 火屬性
  100, 200,   0, 100, -50,  75,   0,  25, 100, 100,  // 風屬性
  100,  25,  75,  75,  75,   0,   0, -25,  25,-100,  // 毒屬性
  100,  75,  75,  75,  75, 125,-100, 200, 100, 200,  // 聖屬性
  100,  75,  75,  75,  75, -25, 200,-100, 100,-100,  // 暗屬性
    0,  25,  25,  25,  25,  25,   0,   0, 200, 175,  // 念屬性
  100,  25,  25,  25,  25, -25, 175,   0, 100,   0,  // 不死屬性
