//人工生命體技能樹
//CLass,技能編號,最高等級,Prerequisite Skill-ID-1,Prerequisite Skill-ID-1-Lv,PrereqSkill-ID-2,PrereqSkill-ID-2-Lv,PrereqSkill-ID-3,PrereqSkill-ID-3-Lv,PrereqSkill-ID-4,PrereqSkill-ID-4-Lv,PrereqSkill-ID-5,PrereqSkill-ID-5-Lv//CLASS_SKILLNAME#Skill Name#
//麗芙
6001,8001,5,0,0,0,0,0,0,0,0,0,0 //治癒之手
6001,8002,5,8001,3,0,0,0,0,0,0,0,0 //輕捷移動
6001,8003,5,8001,5,0,0,0,0,0,0,0,0 //腦手術
//艾咪斯可魯
6002,8005,5,0,0,0,0,0,0,0,0,0,0 //位置互換
6002,8006,5,8005,5,0,0,0,0,0,0,0,0 //防禦力
6002,8007,5,8006,3,0,0,0,0,0,0,0,0 //活命之膚
//飛里樂
6003,8009,5,0,0,0,0,0,0,0,0,0,0 //月光
6003,8010,5,8009,3,0,0,0,0,0,0,0,0 //橫越速度
6003,8011,5,8010,3,0,0,0,0,0,0,0,0 //緊急迴避
//巴尼米樂斯
6004,8013,5,0,0,0,0,0,0,0,0,0,0 //善變
6004,8014,5,8013,3,0,0,0,0,0,0,0,0 //混亂的祈福
6004,8015,5,8013,5,0,0,0,0,0,0,0,0 //變更指示
//麗芙2
6005,8001,5,0,0,0,0,0,0,0,0,0,0 //治癒之手
6005,8002,5,8001,3,0,0,0,0,0,0,0,0 //輕捷移動
6005,8003,5,8001,5,0,0,0,0,0,0,0,0 //腦手術
//艾咪斯可魯2
6006,8005,5,0,0,0,0,0,0,0,0,0,0 //位置互換
6006,8006,5,8005,5,0,0,0,0,0,0,0,0 //防禦力
6006,8007,5,8006,3,0,0,0,0,0,0,0,0 //活命之膚
//飛里樂2
6007,8009,5,0,0,0,0,0,0,0,0,0,0 //月光
6007,8010,5,8009,3,0,0,0,0,0,0,0,0 //橫越速度
6007,8011,5,8010,3,0,0,0,0,0,0,0,0 //緊急迴避
//巴尼米樂斯2
6008,8013,5,0,0,0,0,0,0,0,0,0,0 //善變
6008,8014,5,8013,3,0,0,0,0,0,0,0,0 //混亂的祈福
6008,8015,5,8013,5,0,0,0,0,0,0,0,0 //變更指示
//麗芙_H
6009,8001,5,0,0,0,0,0,0,0,0,0,0 //治癒之手
6009,8002,5,8001,3,0,0,0,0,0,0,0,0 //輕捷移動
6009,8003,5,8001,5,0,0,0,0,0,0,0,0 //腦手術
6009,8004,3,0,0,0,0,0,0,0,0,0,0 //智力變換
//Amistr_H
6010,8005,5,0,0,0,0,0,0,0,0,0,0 //位置互換
6010,8006,5,8005,5,0,0,0,0,0,0,0,0 //防禦力
6010,8007,5,8006,3,0,0,0,0,0,0,0,0 //活命之膚
6010,8008,3,0,0,0,0,0,0,0,0,0,0 //血的貪求
//飛里樂_H
6011,8009,5,0,0,0,0,0,0,0,0,0,0 //月光
6011,8010,5,8009,3,0,0,0,0,0,0,0,0 //橫越速度
6011,8011,5,8010,3,0,0,0,0,0,0,0,0 //緊急迴避
6011,8012,3,0,0,0,0,0,0,0,0,0,0 //S.B.R.44
//巴尼米樂斯_H
6012,8013,5,0,0,0,0,0,0,0,0,0,0 //善變
6012,8014,5,8013,3,0,0,0,0,0,0,0,0 //混亂的祈福
6012,8015,5,8013,5,0,0,0,0,0,0,0,0 //變更指示
6012,8016,3,0,0,0,0,0,0,0,0,0,0 //生物爆炸
//麗芙2_H
6013,8001,5,0,0,0,0,0,0,0,0,0,0 //治癒之手
6013,8002,5,8001,3,0,0,0,0,0,0,0,0 //輕捷移動
6013,8003,5,8001,5,0,0,0,0,0,0,0,0 //腦手術
6013,8004,3,0,0,0,0,0,0,0,0,0,0 //智力變換
//艾咪斯可魯_H
6014,8005,5,0,0,0,0,0,0,0,0,0,0 //位置互換
6014,8006,5,8005,5,0,0,0,0,0,0,0,0 //防禦力
6014,8007,5,8006,3,0,0,0,0,0,0,0,0 //活命之膚
6014,8008,3,0,0,0,0,0,0,0,0,0,0 //血的貪求
//飛里樂2_H
6015,8009,5,0,0,0,0,0,0,0,0,0,0 //月光
6015,8010,5,8009,3,0,0,0,0,0,0,0,0 //橫越速度
6015,8011,5,8010,3,0,0,0,0,0,0,0,0 //緊急迴避
6015,8012,3,0,0,0,0,0,0,0,0,0,0 //S.B.R.44
//巴尼米樂斯2_H
6016,8013,5,0,0,0,0,0,0,0,0,0,0 //善變
6016,8014,5,8013,3,0,0,0,0,0,0,0,0 //混亂的祈福
6016,8015,5,8013,5,0,0,0,0,0,0,0,0 //變更指示
6016,8016,3,0,0,0,0,0,0,0,0,0,0 //生物爆炸
