// 藍箱開出物品資料
//
// 結構:
// 群組編號,物品編號,機率

1,501,12	//紅色藥水
1,502,12	//赤色藥水
1,503,12	//黃色藥水
1,504,12	//白色藥水
1,505,12	//藍色藥水
1,506,12	//綠色藥水
1,507,12	//紅色藥草
1,508,12	//黃色藥草
1,509,12	//白色藥草
1,510,12	//藍色藥草
1,511,12	//綠色藥草
1,512,12	//蘋果
1,513,12	//香蕉
1,514,12	//葡萄
1,515,12	//紅蘿蔔
1,516,12	//蕃薯
1,517,12	//肉
1,518,12	//蜂蜜
1,519,12	//牛奶
1,520,12	//西納雷葉子
1,521,12	//蘆薈葉子
1,522,12	//瑪絲黛拉果實
1,523,12	//聖水
1,525,12	//萬能藥
1,526,12	//蜂膠
1,528,12	//魔物飼料
1,529,12	//糖果
1,530,12	//柺杖糖
1,531,12	//蘋果汁
1,532,12	//香蕉汁
1,533,12	//葡萄汁
1,534,12	//紅蘿蔔汁
1,535,12	//南瓜
1,536,12	//霜淇淋
1,537,12	//寵物飼料
1,538,12	//薑餅
1,539,12	//小蛋糕
1,544,12	//生魚片
1,545,12	//紅色纖細藥水
1,546,12	//黃色纖細藥水
1,547,12	//白色纖細藥水
1,548,12	//起士
1,549,12	//美味蕃薯
1,550,12	//仙貝
1,551,12	//明蝦壽司
1,553,12	//包子
1,555,12	//糕餅
1,558,12	//巧克力
1,561,12	//白色情人巧克力
1,601,12	//蒼蠅翅膀
1,602,12	//蝴蝶翅膀
1,603,1173	//神秘箱子
1,604,512	//枯樹枝
1,605,12	//曼特療傷藥
1,606,12	//蘆薈汁液
1,607,12	//天地樹果實
1,608,12	//天地樹芽
1,609,12	//返魂符
1,610,12	//天地樹葉子
1,611,12	//放大鏡
1,612,12	//攜帶用熔礦爐
1,613,12	//鋼鐵錘子
1,614,12	//黃金錘子
1,615,12	//神之金屬錘子
1,618,12	//老舊卷軸
1,619,12	//青蘋果
1,620,12	//濃縮柳橙汁
1,621,12	//苦味草
1,622,12	//彩色紅蘿蔔
1,623,12	//變態蚯蚓
1,624,12	//腐臭之魚
1,625,12	//鏽鐵
1,626,12	//魔物飲料
1,627,12	//魔物牛奶
1,628,12	//營養大骨
1,629,12	//呢喃花
1,630,12	//青苔
1,631,12	//青嫩毒草
1,632,12	//營養蚯蚓
1,633,12	//魔物番薯
1,634,12	//魔物香蕉
1,635,12	//魔物之證
1,636,12	//魔物信件
1,637,12	//魔物掃把
1,638,12	//純潔銀刃
1,639,12	//馴服手鐲
1,640,12	//閃爍之石
1,641,12	//黑暗合約書
1,642,12	//惡魔召喚書
1,643,12	//攜帶用孵蛋器
1,644,312	//禮物箱
1,645,12	//集中藥水
1,656,12	//覺醒藥水
1,657,12	//菠色克藥水
1,659,12	//心愛女人之回憶
1,663,12	//年糕
1,664,12	//禮盒
1,665,12	//禮盒
1,666,12	//禮盒
1,667,12	//禮盒
1,668,12	//紅包
1,678,12	//毒藥瓶
1,679,12	//召還丹
1,701,12	//歐拉歐拉
1,702,12	//家畜血
1,703,12	//西納雷花
1,704,12	//蘆薈
1,705,12	//三葉幸運草
1,706,12	//四葉幸運草
1,707,12	//哀唱草
1,708,12	//曼特花
1,710,12	//幻想花
1,711,12	//芽苗
1,712,12	//花
1,713,12	//空瓶
1,714,12	//華麗金屬
1,715,12	//黃色魔力礦石
1,716,12	//紅色魔力礦石
1,717,12	//藍色魔力礦石
1,718,12	//深紅寶石
1,719,12	//紫寶石
1,720,12	//天藍寶石
1,721,12	//綠寶石
1,722,12	//珍珠
1,723,12	//紅寶石
1,724,12	//詛咒紅寶石
1,725,12	//大紅寶石
1,726,12	//藍寶石
1,727,12	//白寶石
1,728,12	//黃寶石
1,729,12	//青綠寶石
1,730,12	//1克拉鑽石
1,731,12	//2克拉鑽石
1,732,12	//3克拉鑽石
1,733,12	//受損的鑽石
1,734,12	//紅色相框
1,735,12	//藍色陶瓷器
1,736,12	//白色盤子
1,737,12	//黑色杓子
1,738,12	//筆筒
1,739,12	//化妝品
1,740,12	//瘋兔娃娃
1,741,12	//波利娃娃
1,742,12	//蒼蠅娃娃
1,743,12	//魔菇娃娃
1,744,12	//花束
1,745,12	//捧花
1,746,12	//玻璃珠
