// Bloody Branch Summonable Monsters Database
//
// Structure of Database:
// MobID,DummyName,Rate

0,Baphomet,1039
1038,俄塞里斯,1000000
1039,巴風特,1000000
1046,死靈,1000000
1059,蜂后,1000000
1086,黃金蟲,1000000
1087,獸人英雄,1000000
1096,天使波利,1000000
1112,海盜之王,1000000
1115,虎王,1000000
1120,幽靈波利,1000000
1147,蟻后,1000000
1150,月夜貓,1000000
1157,法老王,1000000
1159,皮里恩,1000000
1190,獸人酋長,1000000
1251,冰暴騎士,1000000
1252,卡崙,1000000
1272,黑暗之王,1000000
1312,烏龜將軍,1000000
1373,死靈騎士,1000000
1388,聖天使波利,1000000
1389,德古拉男爵,1000000
1418,墨蛇君,1000000
1492,元靈武士,1000000
1511,古埃及王,1000000
1582,惡魔波利,1000000
1583,塔奧群卡,1000000
1623,RSX-0806,1000000
1630,白素貞,1000000
1658,闇●劍士 賽尼亞,1000000
1685,貝思波,1000000
1688,嗒妮小姐,1000000
1708,魔劍士 達納托斯的記憶,1000000
1719,迪塔勒泰晤勒斯,1000000
1734,齊爾-D-01,1000000
1751,蘭特克力斯,1000000
1768,幽暗夢魘,1000000
1779,水晶龍,1000000
1785,阿特羅斯,1000000
