// 物品交易限制設定
// 用於給物品交易加上特別規則
// 物品ID,交易規則(可疊加),可無視該規則的最低GM等級
// 交易規則說明:
// 1:無法丟棄
// 2:無法交易 (無法公開)
// 4:已婚的人可無視限制2
// 8:不能被賣出給NPC
// 16:不能被放入手推車中
// 32:不能被放入倉庫中
// 64:不能被放入公會倉庫中
// 舉例:
//   1161,67,50
//   物品ID:1161(神器 三十二溯月),67:不可丟棄,不可交易,不可存入公會倉庫(1+2+64 =67)
//   50:GM等級為50以上的GM才可以無視該條件

// 戰場徽章
7828,123,100
7829,123,100
7773,123,100

// 戰場武防
13037,123,100
1482,123,100
13410,123,100
1183,123,100
13036,123,100
1425,123,100
13411,123,100
1184,123,100
1380,123,100
1543,123,100
1279,123,100
1574,123,100
1739,123,100
1824,123,100
1632,123,100
1634,123,100
1924,123,100
1978,123,100
13306,123,100
13171,123,100
13173,123,100
13174,123,100
1379,123,100
1542,123,100
1280,123,100
1575,123,100
1738,123,100
1823,123,100
1633,123,100
1635,123,100
1923,123,100
1977,123,100
13305,123,100
13108,123,100
13172,123,100
2376,123,100
2377,123,100
2378,123,100
2379,123,100
2380,123,100
2381,123,100
2382,123,100
2435,123,100
2436,123,100
2437,123,100
2538,123,100
2539,123,100
2540,123,100
2720,123,100
2721,123,100
2722,123,100
2723,123,100
2724,123,100
2725,123,100
12271,123,100
12272,123,100
12273,123,100

// 結婚相關物品
2634,123,100	// 結婚戒指(新郎)
2635,123,100	// 結婚戒指(新娘)

//魔物終結塔
6000,115,99	//黑暗之_灰燼

//商城轉蛋
13518,73,99
13519,73,99
13520,73,99
13521,73,99
13522,73,99
13523,73,99
13524,73,99
13526,91,99
13554,73,99
13555,73,99
13556,73,99
13557,73,99
13558,91,99
13559,91,99
13560,91,99
13561,91,99
13562,91,99
13563,91,99
13564,91,99
13565,91,99
13566,91,99
13567,91,99
13568,91,99
13613,73,99
13614,73,99
13615,73,99
13616,73,99
13617,91,99
13618,91,99
13619,91,99
13620,91,99
13621,73,99
13622,73,99
13623,73,99
13624,91,99
13625,91,99
13626,73,99
13627,73,99
13628,73,99
13629,73,99
13630,91,99
13631,91,99
